who,sugar,metabolism,vision,strategy,tax_due,tax_paid,punished,compliance_history
23,4.299551828904875,1,3,partial,0.5058298267725226,0.2529149133862613,1,[none full full full full partial full full partial full full full partial full none full none none none partial partial partial partial partial none full none partial partial full partial partial partial partial partial partial partial partial partial partial]
185,9.458835194791364,1,3,partial,3.5595141281488156,1.7797570640744078,1,[full none full full partial full partial full full full full full partial full full full full full full full full full full full full full full full full full full full full full none full full full none partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial]
98,10.755518834257439,1,4,partial,3.9097848692009323,1.9548924346004661,1,[full none partial none partial full none full partial full full full none full full none full full full full full none partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial]
118,6.041965378046543,1,3,partial,2.563055310283534,1.281527655141767,1,[partial none full none full partial full full full full partial full full none full full full none full full none none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full none partial partial partial partial partial partial partial partial partial partial none partial partial partial]
168,1.3726402986361526,1,1,partial,0.5144235379171184,0.2572117689585592,1,[none none partial full full full full full full partial full partial full full full full full full none full full full full none full full full full full full full full full full none partial partial partial partial partial partial partial partial partial none none none none partial partial none partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial none partial partial none partial partial partial partial partial partial partial]
3,3.4836663791074196,1,2,partial,0.40984330329628116,0.20492165164814058,1,[none full none full full full partial full full partial full none none full full none partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial]
33,2.725749715585492,1,3,partial,0.3206766369908781,0.16033831849543906,1,[none full full none full none full partial partial full full full full none full none none partial partial partial partial partial partial partial partial partial partial partial partial partial full full partial partial partial partial partial]
72,3.0540118360877786,1,2,partial,0.35929551012808714,0.17964775506404357,1,[partial full partial none full partial full partial partial full full full full partial full full full full full full full full full full full full full full full full full full full full full full full full full full full full full partial full full full full full full full full full full full full full full full full full full full full full full full full full none full none full full full full full full full full full full full full full full full full full full full partial partial partial partial partial partial none partial partial none none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial]
176,9.812359065071181,1,5,partial,2.803531646864725,1.4017658234323624,1,[none none full none full full full partial none full none full none full full full none full full full none full full full none partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial full full full partial full partial partial partial partial partial partial partial partial partial full partial partial partial partial full partial partial partial partial partial]
160,3.6114218453605385,1,2,partial,0.42487315827770866,0.21243657913885433,1,[partial none full none full full full full full full partial full partial full full none full none full full full none none full none full full full full full full full full none partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial none partial partial partial partial partial partial partial partial partial partial none partial full partial full partial partial partial partial partial partial partial partial]
112,1.072955286356561,1,4,partial,0.12623023356366533,0.06311511678183267,1,[full none full none full partial full full full full full none full partial full full full full partial full full partial full full full full full full full full full full full full full full full full full full full full full full full full none full full full full full full full full full full full full full full none full none partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial]
28,5.947296781891806,1,3,partial,2.5536523274500014,1.2768261637250007,1,[full none partial full full none full none full full partial none full full full none full full full full full full full full full partial partial partial partial partial none none partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial full partial]
1,3.7142131342665836,1,1,partial,0.4360819710317679,0.21804098551588394,1,[full partial full none full partial full full none full full full full none full full full none full none partial partial none partial none partial partial partial partial partial partial full partial partial partial partial partial]
