who,sugar,metabolism,vision,strategy,tax_due,tax_paid,punished,compliance_history
79,5.447105386844388,4,4,partial,0.6408359278640456,0.3204179639320228,1,[none partial partial partial partial partial full partial full full full full full none none none partial partial full partial none full partial full full none none full full partial partial full full none none none full partial partial partial partial none none full none full none none partial partial partial partial partial full partial full full none none none partial none full full full none full full full full full full full full full none full none full none full full full full none partial none none full full none full partial full none full full full partial full full full partial full full full none partial full none full full full none none none partial full none partial none full full full none full full partial full partial none none full full partial partial partial none full none full partial full full partial partial full full partial partial full none partial full none full full partial partial full partial full none partial full partial partial full partial partial none none partial partial none none none none full none none partial none none none none none none partial none none none full none full none full partial none none none full none none none none none none partial partial partial partial none full full none full full partial partial full full full full none partial none full partial none full full partial full partial none full none full none partial none none full full none full none none none none full partial none partial full none partial partial partial none none none none none none full none full none none partial full full full full full none full none none full partial full full full partial full partial full partial full full full full partial full partial full partial full partial partial partial full none full full none partial partial full full full partial partial full full partial full full full full partial full full full full full full partial partial full full none full full full partial partial partial full full full full full full partial full partial full full partial partial full full full full full full partial partial partial partial partial partial full partial partial partial partial partial partial partial partial full partial full full partial partial full full partial partial full partial full partial partial full full partial partial partial partial full full full partial full partial partial partial partial full partial partial full full partial partial full partial partial partial full full partial full partial partial partial partial full full full full partial partial partial partial full partial partial partial full full full partial full partial partial full full partial partial partial partial partial full partial full partial full partial partial full partial full partial full partial partial partial partial partial partial full full full partial full full full full full partial full full full partial partial partial full partial full full partial partial full partial full full partial full partial partial partial full partial partial full partial partial full partial full full partial partial full partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial]
107,8.353202075751124,3,6,partial,0.6687581132369605,0.3343790566184803,0,[none full full full partial full full partial none full none none partial partial none none partial partial none none none none full full none full full partial none full full none none partial none none full partial full none full none full full full none none none full none partial partial partial full partial partial partial full partial full full none full full full full full full none full none full full none full none full full full full full full none full partial partial none none none none none none none none full full full none full partial partial full full full full full partial full full partial partial full partial partial full none full none none none none full none partial none partial partial none partial partial partial full partial full none full full partial full partial partial full full partial partial full full none full partial full full none partial none full full full full full full full full full none none none none none none none none none none none none partial none partial none none none none none none partial full none full none full partial full none none none partial partial partial none none partial none partial none partial partial partial partial none full none full full full partial none none none partial none none partial none full full none full none none full partial none full none none none none full partial full none full partial full partial none none none full none none full full full none full none full none none none full none none full full full none full full full full none full none full full full full full full full partial partial partial partial full none full full partial full partial partial partial partial full full full full full full full partial full none full partial partial full partial full partial partial full full full full partial partial full partial full full none full partial full partial full full partial full full partial partial partial partial partial full full full full full partial partial partial partial full partial partial full partial partial partial partial partial partial full full partial full full partial partial full full partial partial partial partial partial partial full partial full partial partial full full full partial full full partial partial partial partial partial partial partial full full partial full partial partial full partial partial partial full partial partial partial partial partial full partial partial full partial partial partial partial partial full partial partial partial full partial partial full partial full full full partial full partial full partial full full full full partial full full partial full full full partial partial partial partial full partial partial partial partial partial full partial full full partial full full full full full full partial partial partial full partial partial partial partial full partial partial full full partial partial full partial partial partial full partial full full full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial]
152,14.553070117153492,3,3,partial,2.7895711371452205,1.3947855685726103,0,[none partial none full none partial full full partial none partial full partial full partial none partial partial none partial partial none partial none full full full full partial none partial full partial none full full full full none full none none none none none full full none partial none partial partial partial full full partial partial partial full partial partial full full full none none none full none full full full partial partial full full full full none full full full none none none none none none none full none full none none none none full none full full full none partial partial full partial full full partial partial full partial partial partial partial none full full full full full none partial none partial full partial partial partial partial partial none partial partial partial full full partial none partial full partial full partial partial none partial full partial partial none partial none full full full none full partial full full full full full full full none partial partial none partial partial none partial none none none none none none partial none none none partial full partial none partial none none none none full partial none partial partial partial partial partial none partial partial none full full full full full full full full full full partial full full partial partial partial partial none none full none partial partial partial none full full full full full full none none none none partial full partial none none full partial partial full none full none full full none none none full full none none partial none none full full full full none full full none partial full partial full partial full partial full partial none partial partial full partial full partial partial full partial partial full partial full partial partial full full partial partial partial full partial full full full full full full full partial full full full full full full partial full partial partial partial partial partial full full partial full partial partial partial full full full full partial full partial full partial partial partial partial partial full full full full partial partial partial full full partial full partial full partial partial partial partial partial partial partial partial full partial partial partial partial partial partial full partial partial partial partial partial full full partial full full partial partial full partial partial partial partial partial partial partial partial partial full full partial partial full full partial full partial full partial partial partial partial full partial partial partial full partial partial partial full full partial partial partial partial full full partial partial partial partial full full partial full full partial partial partial full full full partial partial full partial partial partial full full partial full full full full full full full full partial partial partial partial partial full full partial full partial full partial full full full partial partial partial full partial partial partial partial full full full partial partial full partial partial full partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial]
66,6.7982433243956475,3,1,partial,0.7997933322818409,0.39989666614092045,1,[full partial full none partial partial full full none full partial full full partial none partial none full none full none full none full none none full full full full full full none partial none none partial partial full full full none full full partial full none partial full partial full full full full full full full full full full full full full full none full full full full full full partial full full full full full full full none none full none none none none none none none full none none full full partial full none full full partial full full full full partial full full partial full full full full partial full partial none none full none full none none full partial partial none none none none full partial partial none partial none none full none none partial partial partial full partial partial full none full none full none none full full full partial none none partial none none none none none none none none none none none none none none none partial none none full none partial none none full full none none none none none partial partial none partial partial partial partial full partial partial full full none none full partial none full full full full none full none full full partial partial partial full partial partial full partial none partial none full none full full full partial full none none none none none none full none full none none full full full full none none none none none full none none full none none partial none none full full partial none none full none none full full partial full full full partial partial full partial partial none full partial full partial full full full full full partial partial full full partial partial full full partial partial full full full partial partial partial partial full full partial partial partial partial partial partial partial none full full partial full full full partial full partial full full full partial partial partial full partial full partial partial full partial full full full full partial partial partial partial full full partial partial partial partial partial full partial partial full partial full full partial partial partial full partial partial partial partial partial full partial partial full partial partial partial partial full full full full full partial full full partial partial partial full full partial full partial partial full partial full partial partial partial partial partial partial full partial full full partial partial partial partial full full partial partial partial full full full partial full full full full partial partial full partial partial partial partial full partial partial partial partial full partial full partial partial partial partial partial full full full full partial partial full partial partial full partial partial full full full full partial partial full partial partial partial partial full partial partial partial full partial full partial partial full partial full partial partial partial partial partial full full full partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial]
192,7.652312995629542,3,1,partial,0.9002721171328872,0.4501360585664436,1,[partial full full partial partial full none full none none none none none partial partial none partial full partial none partial partial partial full full full none full partial partial partial partial none full full partial full full full full none none none full none full full none full none none full partial partial partial full none full partial partial partial partial full full full full full full full full full full none full none full full full none full full full full partial full full none none partial none none full full full none full full full full full full none full none full none full partial partial full full partial full full full full full partial full none partial partial full none none partial none none none full full full none partial partial none none none partial partial full full partial partial partial none full partial partial none partial full partial partial partial full full partial full partial full partial full full partial full full full full none partial none none none none none none none none none none none full none none none partial full partial partial partial partial none partial partial none partial full full full none none none none none full partial partial none full none none none none partial none none partial none none none partial full partial full none none partial none full none full partial full full full full full full full none partial partial none full none full full none full full none none full none none none none none none full full full none full none full none none full full full full full full none full full partial full full full full full partial none partial full none full full partial full full partial partial none full full full full full full full full full partial full full full partial full partial full full partial full full full full partial full full partial partial partial partial full full full partial full full partial partial none full full partial full full full partial none partial partial full full none full partial partial full full full partial full full full full partial partial partial full partial full full partial full full partial partial full partial partial full partial partial full partial partial partial partial full partial partial partial full full full partial partial partial full partial full partial partial full partial full partial full full partial full partial full full partial partial partial partial partial partial partial full full full full full partial partial full full full full partial partial partial full full full partial partial partial partial full partial full partial full partial full full partial partial full partial partial full partial full partial partial full partial partial full full full full full partial full full full full partial partial full partial partial full full full full partial full partial full partial partial full full partial partial partial partial full full full partial partial full partial partial full partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial]
11,6.579692826181224,4,6,partial,0.7740815089624971,0.38704075448124853,1,[full partial partial partial full full full none partial full full full full none partial none partial full none partial partial partial none full full none none none partial none partial partial partial none full none full none full none none partial full full none none partial partial partial full partial partial partial full partial none none none full full full full full none partial none full none none none partial none full full full none full none full full full full full none full partial full full partial full partial full full full full partial full partial full full partial none full none partial partial full none none full full full full full partial none partial partial partial full partial none partial none none partial partial full none full none full partial partial full partial partial partial partial partial partial none partial full none full full full full full full full full none none none none none partial none none none none none none none none none none none none none none full none full none full partial partial none partial partial none partial partial partial partial partial partial partial partial partial partial full partial none full none full none partial partial partial full full none full none none full none none none full full none partial none full partial partial none none full none none partial none none none none none none none none none none full none none full none full none partial full none full none partial partial full full full full partial full partial partial full full full full full full full full full partial full full full none partial full partial partial full full full full partial full full none full partial partial partial full full full partial full full partial full none full full partial partial partial none full full partial partial full partial partial partial full partial partial full partial partial partial partial partial full full partial full full partial partial partial partial full full partial partial partial partial partial partial full full partial full full partial partial partial partial full full partial full partial full partial partial partial partial full partial partial partial partial partial partial full partial partial full partial full partial full full partial partial partial partial full full full partial full partial full partial full full partial partial full full full partial partial partial partial full partial partial full full partial full partial full partial full partial full partial full full full full full partial partial full partial partial full partial full partial partial partial full full partial full partial partial partial partial partial full partial partial partial partial full full partial full partial partial full full partial full partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial none partial partial partial partial full partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial full partial partial partial partial partial partial full partial partial partial partial]
75,6.631595845598536,3,1,partial,0.7801877465410043,0.39009387327050216,1,[partial none partial partial partial none none none full partial full none partial partial none partial partial none none partial full partial partial none none none full full none partial full partial full none none full none full full none none partial partial partial partial partial partial full full partial full full full none none full full none full full full full full none full full full none none none none none none full none full full full full full full none partial none full full full full partial partial partial full full partial partial full none partial none partial partial partial none partial partial partial partial partial none partial partial none partial partial partial none full full full partial partial full full full full partial partial partial none none none full partial partial partial partial partial full partial partial none full full full none full full full full none full partial full none none full full partial full full partial full none partial none none none none none none none partial none partial partial none none none partial none partial full none none partial none partial none partial partial partial none partial partial partial partial full full partial full none none partial partial full none partial none none none partial none partial none full none partial full partial full full full none full full full none partial partial full none partial none none none none none none full none full full none none full full none partial full full partial full full none none full partial full full full full partial partial full partial partial partial partial partial none full full partial full full none partial partial partial full partial full partial full partial full full full full full full full partial partial full partial partial partial full full full full full full partial full full partial full full full partial full full none partial full full full full partial partial partial partial none partial partial full full partial partial full partial partial full partial full partial full full partial partial partial partial full full full full full full full partial partial partial partial partial full full partial partial full full partial partial partial partial full partial full partial full full partial partial full partial partial partial partial partial full full partial partial partial full partial full full partial partial full full partial partial partial full partial full partial full partial partial partial partial full partial partial partial full full full partial partial partial full partial full partial full partial partial partial partial partial full partial partial partial partial full partial full full full partial full full partial full partial partial partial full partial full partial partial full full partial partial partial full full partial partial full partial partial partial partial partial full partial full full partial full partial partial full partial partial partial full full partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full none partial]
125,13.959784518705584,2,5,partial,3.9885098624873105,1.9942549312436553,1,[full full full none full partial partial partial full full full full partial none none partial none none full full full none none full partial full none full none none none none full full none none none none none full full none partial partial full partial partial full full full partial full none full full none none full none none full full partial none full full full full full full full none full none full full none full partial partial full none none full none full full full full none none full full partial full partial partial full full partial partial partial none none full full full partial none none full none partial full partial full full partial partial partial none partial partial none partial partial partial none partial partial partial partial partial full partial partial partial full partial none full partial none full none full full full full partial full full none partial none none none none partial none none partial none none full partial full none none full none none none partial partial none none partial partial partial partial partial partial partial full full none none none none partial none none none full full full partial full partial none full none full partial full partial partial partial partial none partial none full partial none partial partial full full full partial full none full full full full none none full none none none none full full full full none full none full none full full none none none none full none partial full full partial partial partial partial partial partial full full none none partial partial partial none full partial full full full full partial partial full partial full full full partial partial full full full full full partial full partial full none full full full full full partial partial full partial full full full partial partial full partial partial partial partial partial partial full partial partial partial full full full partial partial full partial partial partial full partial partial full partial full partial partial partial partial full full full partial full partial full full partial partial partial full partial partial full full partial partial partial partial partial full partial partial full partial partial partial partial full partial partial full full full partial partial partial partial partial partial partial partial full full full full partial partial partial partial full full partial partial partial partial partial partial partial partial full partial full partial full full full partial partial partial partial full full full partial full partial full partial full partial partial partial full full partial full full partial full full full full partial full partial full partial partial full full full full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial]
151,6.248810952906423,3,1,partial,0.7351542297536968,0.3675771148768484,1,[none full full full none partial full full partial none none none partial full partial none full partial none none partial none partial full full full full none none partial partial none full full full full full full full full full none none full full none full none partial partial partial partial partial partial partial partial full none full none full none full none full none full full full full none full full none none full partial full full none full none full none full full full full full full none full full full full partial partial full full full partial partial full partial partial partial full partial none full partial full none full partial partial partial partial partial partial none full partial full none partial none full none full partial partial none full none full partial partial partial partial partial full partial partial none none full full none full partial full none full none full partial full partial partial partial none none none none none partial none none none none none none none none none none full none none none partial none none none full partial partial partial none none none partial none partial full none none full none full none none partial none full partial none full full none none none partial none full none none full full partial partial none full none none full none partial full full none none none partial full none full full none none none none none none full none none none none partial full full none full full full none full full full full full full full full full partial none partial partial full full full partial full partial partial partial partial full none none partial partial full full full full partial full full partial partial none partial full partial full partial partial full full full full full partial full full full partial full partial full partial none partial partial full full full partial partial partial full full partial full full full partial full full partial partial partial full partial partial partial partial partial partial full partial full partial full partial full full partial partial partial partial partial partial partial partial full partial full partial partial full full partial full full full full partial full partial partial full full partial full partial full partial partial partial full full partial full full partial full partial full partial partial partial partial full partial full full full partial partial partial full partial full partial partial full full full full partial full full partial partial full partial full partial full partial partial full partial full full partial full partial full partial partial partial full full partial full full partial partial full partial full full full full partial partial partial partial full partial full partial partial partial partial full partial full partial full partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full full partial partial]
19,6.096269953234621,3,2,partial,0.7172082297923086,0.3586041148961543,1,[full full partial partial full none partial full none partial none partial partial none full none partial partial none none full full none full none none partial full full full full none none none full partial partial none full full full none full full none none none partial partial partial full full none full full none none partial none full full none none none full full full full full full none partial partial none none none full none full full full full full full partial full full full full full full none full full full partial full full partial full partial full full full partial full full full partial full none partial none none full partial partial full full partial full partial partial partial partial none full partial partial none partial none partial none full partial partial partial partial partial partial partial full partial partial none partial full none full full full full partial full partial full full none full full full full partial partial none none partial none none none none none none none none partial none none full none partial none partial full none none none partial none none none none none partial none none partial partial none partial partial partial partial none none none full full none none full full full none none none full none full partial none full full full full full full none none full none full none none full full none none full none full none full full full none partial none full none none none full none full full full none full none full none none none full none none none none partial full full none full full none full partial full full full full partial partial partial partial partial partial partial partial full full full full none full full partial none partial partial partial none full full full none full full partial partial partial partial full full full partial full none partial partial full full full partial full partial full partial full partial partial partial full full partial full partial partial full full partial partial partial partial partial partial full partial partial partial partial full full full partial full full full partial partial full full partial full full partial full partial partial full full partial partial partial full full partial full partial partial full partial partial full partial partial full partial partial partial full partial full partial partial partial partial partial partial partial full partial partial partial partial partial partial partial full partial partial full partial full full full partial partial partial full partial partial partial partial full partial partial partial full full partial full full full partial partial full partial full full full partial partial full full full partial partial partial partial partial partial partial partial full partial full partial full partial full partial partial partial partial full full partial partial partial full full partial full partial full partial partial full partial full partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial full partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial full partial partial partial partial partial partial partial partial partial partial partial]
