who,sugar,metabolism,vision,strategy,tax_due,tax_paid,punished,compliance_history
55,21.987477633987222,1,6,partial,11.993169618538484,5.996584809269242,1,[full none full none none full full none none none partial full full partial partial full full full full partial partial partial none full none none full partial none partial partial partial full partial full none none partial partial partial partial partial full partial full partial partial partial full partial partial none full full full full full full full full full full full none none full none full none none none none partial full full full full full full none none none none none partial none partial partial partial partial none none partial partial partial partial none full none full full full full full none full none none full none none none none none full full none none full full full full full full none full none partial partial none none full full full partial partial full partial partial partial none none none none none none none none full none partial none full partial partial full full partial partial none partial partial full none full partial partial partial none none none full none full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none none full full full full full none full full partial partial full partial full full full full none none full full none full full none full full full full none full none full partial full partial none none full partial full partial none full full full none full full none full full partial none full partial partial full full partial none partial full partial partial none full partial partial none partial partial full none partial partial none partial none full partial partial partial none partial full full partial partial partial none partial none partial partial partial partial partial partial partial none partial partial partial partial partial partial full none partial full partial partial partial partial partial partial full partial none partial partial full partial full partial full none partial partial none partial partial partial partial partial none partial partial partial partial full partial partial partial partial none partial partial partial partial partial partial partial none full partial full none partial partial partial none partial partial partial full partial partial none partial partial none partial full partial partial none none none partial partial full none partial full none partial none partial none partial none partial partial partial none partial partial partial none none partial partial partial none none none none none none none none none none none none none none none none none none none none none none none full full none full none full partial none none full none none partial none partial full none none none none full none none none full partial none full none partial partial full none partial partial full partial partial partial partial none partial full partial partial full partial partial full partial none partial partial full partial partial partial partial partial full none full partial partial full none partial full none none full none none none none none partial]
198,11.879486311215167,1,4,evade,3.9598287704050565,0,1,[full none full none none none none none full full full partial full partial partial partial partial full partial full full full none none full none none none full none partial none full none partial full none partial none none none partial partial partial partial partial partial partial partial partial full none full partial partial partial full partial full partial none none full full full none full full full full full full none full none none none none none none full full none none none partial none none partial none none none partial partial none partial none none partial partial partial partial partial partial partial none none partial full none none none full none none full none full none none full none partial full full full partial none none full none none none partial full full partial full partial partial none none partial none none partial none none none partial none none none full none partial partial partial partial partial partial none partial partial partial full none none partial none partial full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none full full none full none none full full full full partial full full full partial none full none none full none full full none full none partial full full full full partial none full full none none full full full full partial full full full full full none none full none none full none none none full full full full none none none none partial full none partial none full partial partial partial none none none none none none none full partial partial none partial full partial none none none partial partial partial none partial partial full none partial partial full none partial partial partial partial partial full partial partial none partial full partial partial partial full partial partial partial partial none full partial partial partial none partial partial partial partial partial full partial partial partial partial none full partial partial none full partial full partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial none none none partial none partial partial partial none none partial full partial partial partial full full partial none none none none none full partial partial none none partial partial none partial none partial partial partial none none none none none none none none none full none none full full none none none none full full none none none none none full none none full partial none none full full full none none full none full full none none none none partial partial partial partial partial full none partial full partial partial none full partial partial none none partial full partial partial partial partial partial partial partial partial partial partial none partial full full partial full partial full partial none none none partial none none full partial none none full none none]
108,5.098372347290208,3,1,evade,0.6372965434112761,0,1,[full partial full partial full full none none full partial partial full partial partial full none full none partial full full none none none full full partial none full none partial partial full partial none none none partial partial partial partial partial partial full full none none partial partial full full full full full full none full none full none none none none full full full none none none partial none none partial partial none partial partial partial partial partial partial partial partial partial full full none none none none full partial none full none none full full none full full none none full partial partial partial partial partial partial full full full partial partial none partial none none none none partial full partial none partial none full none partial partial partial none partial partial partial partial none none partial none full none none full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none full full partial full full none full full none full full full full none none partial none full full none full partial full full full full partial none full full full full full full none full full full full full full none none none none none full full full partial partial full none full none none none none full none none none partial none partial full none partial full partial full full full none partial partial full full partial partial full none full full none partial none none partial partial partial partial partial none partial partial partial full none full partial partial partial partial partial full partial none full partial none full partial full none partial partial partial partial partial none partial partial full none none full partial partial partial partial full full partial partial partial partial full partial partial full none none full partial full partial partial partial partial partial full full partial none partial partial full none full none partial none partial none none partial full partial partial partial full partial partial full full partial partial partial partial none partial full partial none none partial partial none partial partial none partial partial none full full none partial partial none partial none partial partial partial none partial none none none none none none none none full none none none full none none none none full none none none full none partial none none full none none none full none none none partial none none none partial partial partial partial partial none partial partial partial none partial partial partial partial partial none partial none none partial partial partial none partial partial partial full partial full none partial partial none none none full none none none none]
9,12.909564875767082,2,6,evade,4.3031882919223605,0,1,[full full full full partial partial none partial full full partial partial partial full full partial partial full full full full full partial full partial full partial none none partial partial partial none full none full partial partial none full partial full full partial full partial none partial full full partial partial full partial full full full full full full none full none full none full none full none none none full none full none none full none full full none none none none partial partial partial none none full none partial partial partial partial partial partial partial partial partial full none full partial full none none none none full full none none full none full none full partial full full full none none none full full none none none partial partial full partial full partial partial full full full full partial none partial partial partial partial none none none none none partial full none partial partial partial none partial partial full none none partial full none none none none full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none full partial full none none none full none none full full full full full full none full full partial full partial full full none none full none full full full full full full none partial full none full full full full full full none full none none full full none full partial none none partial full none partial full full full none none partial partial partial partial partial none none partial none partial partial partial none partial none none partial none none partial partial full full none full partial partial partial partial partial none partial full partial partial partial full partial partial partial full none none full none partial partial partial partial partial full partial partial partial partial partial partial partial full partial full partial partial partial full none partial partial partial full partial partial partial full none partial partial none partial partial partial partial partial partial none full partial full partial partial partial partial partial partial none partial partial full full partial partial partial partial partial none none partial full full full partial full partial partial none partial partial partial none none partial partial none partial partial none partial full none partial partial none partial none partial none none partial partial none none none none none none full none full none none none none none full none none none none full full full full none none none none none none none none full partial none none none none full full none partial none none full none none partial partial partial partial partial full none none partial none full none partial none partial partial partial partial full full full partial none full partial none partial partial partial partial full partial full full partial partial partial partial partial full none full partial full partial full partial none none none none full none none none none full none]
197,14.665722069946455,1,2,evade,4.888574023315485,0,1,[full none full none partial full full partial full none partial none partial none none full none partial none full full none partial none none none none full full partial partial partial none partial partial full partial partial none none partial full full partial full partial full partial full full full full full full full full partial none none none none none full full full none none none none none partial none partial full none none partial none partial none none none none partial none full none full partial full none none full full full full partial full none none partial full none none full full full full full full full partial partial partial partial none none partial none full none none none none none none partial partial none full full full none partial none partial full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none none full full full full full full full full none full full full full full partial none full none full full full full partial full full full none full none full partial full full full none full none full full full full full full full full partial full full full partial partial full full full none full full partial full full partial full none full partial none none full full none partial partial none partial partial none full full full partial none partial full full partial full partial partial partial none partial partial full partial none partial partial partial partial full partial none partial full none none full none partial partial partial none partial partial none full partial partial partial partial partial partial full partial full partial full full full none full partial full partial none partial none none full partial none partial partial partial full partial partial none partial partial full partial none none partial partial none full partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial none partial none full partial none none none partial partial partial partial partial none none partial partial partial partial partial partial none none none partial partial none full none none none none none none none none none none none none full none none none none none none none none none none partial full none full none none none none full none none partial partial full none none none none partial partial none none partial full full partial partial partial partial partial partial partial partial partial full partial partial none full full none partial none none partial partial partial partial full partial partial none none partial full none full none none none none full full full none none]
131,9.161060893433769,3,1,partial,0.7537958835193441,0.37689794175967206,0,[full full full full partial partial none partial full none none full full none partial partial partial partial full full none none none full partial full partial partial full partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none full full full full none full full none full none none none full none full none full full full none none none none none none full none full none none partial partial none none partial none none none none partial partial partial full full none full partial full full none full full none none none none full full full full full full full none full none none full partial none partial none full full partial full full full partial partial partial partial partial partial none none none none none partial partial none partial none none partial full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none none partial full full none full full full none full full partial full full partial none full full none none full full full full full full full full full full full none full full full full full full full full none partial none none full full full full none full full full none none none none full none full full full none partial none partial none partial partial partial partial partial partial partial none none none partial partial none none none partial none none none none full none partial partial partial full partial partial partial full partial partial partial partial partial partial partial partial partial partial none partial partial partial none partial partial full partial partial full none partial partial partial partial partial partial partial partial partial full none full partial partial none none partial partial full none partial none none none partial full partial full partial partial full partial full partial full partial partial full full partial partial full partial partial partial full partial none partial partial none none partial partial full partial full partial partial partial partial full none partial partial partial partial none partial partial none partial none none none partial none none none none none none none none none none none none none none none none none none none none none none none none full none none full full full none none none none none none partial none full partial none none partial none none partial none none partial partial partial partial full full partial partial partial full partial partial full partial partial none none full none partial partial partial full partial none full partial partial partial partial full full partial none none none full full none full none full none partial none full partial]
57,13.148972973803652,3,3,evade,2.2297945947607305,0,0,[partial full none partial partial partial full partial full full partial full partial none full partial partial full partial full none full full full full full none full none none none none full partial none none none partial partial partial partial partial partial none partial partial partial partial partial full full full partial full full none none full none none none none none full full none none none full none full full none full none none partial partial partial partial partial partial none partial partial none none partial none full none partial none full partial full none none full none full partial none partial none full none full none none full full none full none none full none full none full full full full partial none none none partial none full partial partial full full partial full full partial full full partial partial none partial partial none none none partial partial partial full none partial partial full full partial full full none none none none none none none none none full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none full full full none full none full full none none full full none full full full none none full full none full full full full none full full full none full full full full none full none full none partial none none none none partial full full none none full full none none none full partial none full partial none partial partial partial partial none full partial none full none partial partial none full full none full partial none partial none full full none none none partial partial partial partial none partial none partial none full partial partial partial none none partial partial partial partial partial partial partial full partial partial partial partial partial partial partial partial full none full partial partial partial partial partial full partial none partial partial partial partial partial partial full partial partial full partial partial none full partial none partial partial full partial full partial none partial partial full partial partial partial full partial none none partial partial partial partial partial partial partial partial partial partial partial partial partial none full partial partial partial none partial partial partial partial partial full partial partial none none partial full partial partial full none partial partial none full none full none none none none none none none none none none none none full none full none none full full none none none none none none none none none none none none full none none none none full none none none partial partial none none none full full partial none none partial partial none partial none full none partial partial partial full full partial none partial full partial partial none partial full partial none partial partial none full partial full partial partial partial none partial partial none full none none full none none none none none]
18,5.893654111275382,4,6,partial,0.6933710719147509,0.34668553595737545,1,[full full full partial partial full full partial full full full partial full partial full partial full none full none full full none none full full none none partial full none none full full partial full partial full none partial partial partial full full partial partial full partial none none full none full none none full full full full partial full partial none full none none full none none none none full none full full none full none none none partial partial partial partial none partial partial none none partial none partial none none partial partial none full partial full full full partial partial full full none full none none none full full full none none full full none full none partial full full full full none partial full full partial full partial full full partial full full partial none partial partial partial none partial none none full partial none none partial partial partial partial full partial partial none none none none none full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none full full none none none full full full full full full none full full partial full partial none none full full full full full full none partial full full none full none full none full full full full partial full partial none partial full full none full full none none none none none none full partial full partial none none partial none none partial none none partial full partial none partial none partial partial full none full none full none full none none full partial partial partial partial none partial full partial none partial full partial partial partial partial partial partial partial none full partial full partial partial partial partial partial partial none partial none partial partial partial partial full partial partial partial partial partial full none none partial partial full full partial partial partial partial partial partial partial partial partial full partial partial none partial partial partial full full partial partial partial partial partial full partial partial none partial partial none partial partial partial partial partial none partial partial partial none full none partial partial partial full partial partial full partial none partial full partial partial partial none partial none partial full full full partial none partial partial full partial partial none partial partial partial none partial none none none none none none none none none none none none none none full none full none full none full none none none full none partial none full none none partial none none none none full full partial partial none partial full partial partial none full full none partial full full partial partial partial full partial partial partial partial full partial none partial none partial partial partial full partial partial partial partial full full partial none partial partial partial none full none partial none none full none none none partial]
41,7.970588442786206,2,3,evade,0.9963235553482758,0,1,[none none full partial full none full partial full full partial none partial full full partial full partial full full none none none full partial full full full full full partial none full none full full full partial none none none none full none partial partial none partial full partial partial none partial full full full full partial full none full none none none none none none none none none full full full none none none none none none partial partial partial partial partial none partial partial partial partial partial none partial full none partial none partial none none none full full none full none none partial full none full none none full full full full full partial full partial partial partial full partial full full full partial full partial full full full full full full partial full partial none partial none none none full partial partial none none partial partial none partial partial none full partial none none full partial full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none none full full full full full none none full full partial none full full full full full full full partial none full full full full full full full full partial full full full full partial full full partial partial none full full full none full none none full full full full full none full full full full none full full none none full full partial none partial full partial none partial partial none partial partial partial none partial full none full none none partial full partial none partial partial none none partial full full partial partial full partial partial none none partial partial none none partial partial partial partial partial none partial none none full partial partial partial partial none partial full none partial none none partial partial partial full partial none partial none none partial partial partial partial partial partial partial full partial partial partial partial partial partial partial none partial partial partial partial none none partial partial partial partial partial full full full partial partial partial none partial partial none partial none none partial none partial partial none full partial none none full partial none none partial partial full none partial full none partial none none partial full none partial partial partial none none none none none none none none none none full none none none none full none full none full none none full full none none full none none none none none partial full none none none none full partial none none full none partial full partial none none partial none partial none partial none none partial full partial partial partial none none partial partial partial partial partial partial full partial none full partial partial partial full partial partial full partial partial partial full partial full full full full partial full full none partial none none partial none full partial partial full full none none]
120,15.84365665385736,3,4,evade,2.7687313307714723,0,0,[full partial full partial partial partial partial partial none full full full full full full partial full none partial none full full full none none none none none full partial partial partial full full none none partial none none full none partial none full partial partial partial partial partial partial full full partial full full partial full none none full full full full none full full full none none full none none none none partial none partial partial partial partial partial partial partial partial none none partial partial none full none none full none full full full none partial partial full partial full full full full full partial none full none none partial none none partial full full full full full partial full partial partial partial partial partial none partial none none none none partial none partial none none full full partial partial partial full partial partial partial partial full partial partial partial full none full none none full none partial none none none full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full full none full full full full full full full full none none none none full partial full none partial full full none partial full full none full none full none full full full full full full full full none full full partial full full full full full partial full full none none full none none full none full partial full none none none none none partial none full none partial full none none none full partial none partial partial none full none partial partial none none none partial none none partial partial partial partial partial none partial partial none partial partial full partial full none partial none none partial partial partial partial partial none partial partial full partial partial partial partial full partial full partial partial partial none partial none partial none partial partial full partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial none partial partial partial partial full full partial partial partial partial partial full full partial full partial partial full partial partial none full partial none partial full partial partial none partial none full partial partial partial partial partial partial partial none partial partial partial partial full partial none partial none none full none none partial partial full full full full full none none partial partial none none none none partial none none none none none none none full none none none none none none none full full none none none full none none full full full full full none none full partial none full partial partial none none none full none none partial none full partial partial partial partial full full none partial partial partial partial partial none none full none partial none partial none partial partial full full none none none full full partial partial partial none partial partial partial full full partial partial partial none none none none none none full none none none none none]
