who,sugar,metabolism,vision,strategy,tax_due,tax_paid,punished,compliance_history
44,3.434227697620881,1,5,partial,0.4040267879553978,0.2020133939776989,1,[full full none partial partial partial partial partial partial full partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial none none partial partial partial partial partial none partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial]
181,10.271410172913766,1,5,partial,2.9346891062505787,1.4673445531252893,1,[full none partial partial none partial partial none none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial none partial partial partial partial partial none full full partial partial partial none partial partial full partial partial full partial full partial partial partial full partial partial]
15,5.429914030391738,1,4,partial,2.4085420171155083,1.2042710085577542,1,[none none none partial partial partial none partial partial partial none partial partial full partial partial partial partial none partial partial none partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial none partial partial none partial partial partial none partial partial partial partial partial partial partial partial none partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial]
110,3.6060251324311254,1,6,partial,0.4242384507520049,0.21211922537600245,1,[partial full partial partial partial none partial none partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial]
45,8.271362588889817,1,2,partial,3.2202362407483736,1.6101181203741868,1,[none full none none partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial]
150,4.301683199719447,1,4,partial,0.5060803764375821,0.25304018821879104,1,[none none full partial partial full full partial partial partial partial partial partial none partial partial none partial partial partial partial none partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial none partial partial full none partial full partial partial partial partial partial none none partial partial partial partial partial none partial partial none partial partial partial partial partial partial partial partial partial partial]
54,7.6644348998354,1,5,partial,0.9016984233798087,0.45084921168990433,1,[none full full partial partial none none partial partial partial partial partial partial partial partial partial partial partial partial partial none none partial partial partial partial partial partial partial none partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial none none none partial none partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial full partial partial partial partial]
121,3.1977150860886656,1,4,partial,0.3762017748340738,0.1881008874170369,1,[none full partial partial partial partial partial none none partial partial none partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial]
109,6.311025709480793,1,2,partial,2.660281566611471,1.3301407833057355,1,[none partial partial partial partial partial partial partial full partial partial partial partial none none partial partial none partial partial partial partial partial none partial none partial partial partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial none partial partial partial partial partial partial partial partial none partial partial partial none partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial partial]
127,7.212718398005904,1,5,partial,2.060777170514346,1.030388585257173,1,[partial full partial partial none full partial partial partial partial partial partial none full partial partial none none partial none partial none partial partial partial partial partial partial partial partial partial partial partial partial partial none partial partial partial partial partial none partial partial partial partial partial none partial partial partial partial none partial partial none partial partial partial partial partial partial partial partial partial partial none partial partial partial partial none partial partial partial partial partial partial partial partial none partial partial full partial partial partial]
